ticker,dividend_yield,payout_ratio,free_cash_flow,cash_dividends_paid,fcf_payout_ratio,fcf_cover,roe,roa,total_debt,total_cash,ebitda,net_debt_ebitda,short_name,market_cap,error,country,industry
XOM,2.73,0.597,12229749760.0,16704000000.0,1.3658496966662383,0.7321449808429119,0.110810004,0.04902,50487001088.0,10680999936.0,59385999360.0,0.6702926881922898,Exxon Mobil Corporation,621104136192.0,,US,综合能源与中游管道
CVX,3.85,1.0317,,11801000000.0,,,0.0716,,41543999488.0,7727000064.0,38059999232.0,0.8885181320646853,Chevron Corporation,367741108224.0,,US,综合能源与中游管道
COP,3.01,0.5008,7486875136.0,3646000000.0,0.4869855492137862,2.0534490224904003,0.12357,0.06421,24394000384.0,6981000192.0,24160999424.0,0.720706949510666,ConocoPhillips,136583938048.0,,US,综合能源与中游管道
EOG,3.29,0.3808,2926749952.0,2087000000.0,0.7130776575476988,1.402371802587446,0.18476999,0.09086,8127000064.0,3529999872.0,11760000000.0,0.3909013768707483,"EOG Resources, Inc.",67200868352.0,,US,综合能源与中游管道
KMI,3.6,0.85040003,455875008.0,2604000000.0,5.712092030278615,0.1750672073732719,0.09826,0.040960003,32355000320.0,67000000.0,7114999808.0,4.538018438692838,"Kinder Morgan, Inc.",72817909760.0,,US,综合能源与中游管道
ET,7.01,1.044,,4623000000.0,,,0.1193,0.043649998,69822996480.0,,14899998720.0,,Energy Transfer LP,65165680640.0,,US,综合能源与中游管道
VZ,5.82,0.5037,17241249792.0,11249000000.0,0.6524469012228786,1.5326917763356742,0.17069,0.05014,184813993984.0,19047999488.0,49997000704.0,3.3155187743639574,Verizon Communications Inc.,207687254016.0,,US,电信运营商
T,3.98,0.2738,12586250240.0,8180000000.0,0.6499155700880137,1.5386613985330073,0.18805,0.040749997,159560007680.0,18233999360.0,44243001344.0,3.1943133157074093,AT&T Inc.,198362791936.0,,US,电信运营商
TMUS,1.9,0.3765,7996499968.0,4121000000.0,0.5153504678911043,1.9404270730405242,0.18177,0.05678,123646001152.0,5598000128.0,32821000192.0,3.596721621322612,"T-Mobile US, Inc.",240993452032.0,,US,电信运营商
SO,3.11,0.7264,-3978625024.0,2954000000.0,,,0.11043,0.03026,74074996736.0,1639000064.0,13315000320.0,5.440179867153018,Southern Company (The),103834198016.0,,US,公用事业
DUK,3.37,0.6688,10784374784.0,3213000000.0,0.2979310404500126,3.3564814142545907,0.09724,0.02806,90868998144.0,245000000.0,14901000192.0,6.081739277652913,Duke Energy Corporation (Holdin,98591891456.0,,US,公用事业
AEP,2.96,0.56159997,-5140375040.0,2008000000.0,,,0.12486,0.03174,49692000256.0,417000000.0,8956999680.0,5.501284137145353,American Electric Power Company,69971247104.0,,US,公用事业
XEL,2.82,0.6667,,1175000000.0,,,0.09916,,35561000960.0,1061000000.0,5949665792.0,5.798645195565298,Xcel Energy Inc.,48240070656.0,,US,公用事业
NEE,2.72,0.6867,-15209124864.0,4680000000.0,,,0.083739996,0.025710002,97220001792.0,2812000000.0,14138000384.0,6.677606396081422,"NextEra Energy, Inc.",192059047936.0,,US,公用事业
601398.SS,4.3,0.3111,,177255000000.0,,,0.09077,0.00728,4810435198976.0,3814651068416.0,,,INDUSTRIAL & COMMERCIAL BK OF C,2534048530432.0,,CN,国有大型银行
601288.SS,3.76,0.3101,,210474000000.0,,,0.09368,0.00632,5903187181568.0,6079542984704.0,,,AGRICULTURAL BANK OF CHINA,2278389710848.0,,CN,国有大型银行
601939.SS,4.5,0.31,,136945000000.0,,,0.096470006,0.00782,5849924239360.0,6159068037120.0,,,CHINA CONSTRUCTION BANK,2275923197952.0,,CN,国有大型银行
601988.SS,4.35,0.3232,,118423000000.0,,,0.08339,0.00712,7644685795328.0,2795253006336.0,,,BANK OF CHINA LTD,1710947827712.0,,CN,国有大型银行
601658.SS,4.67,0.3442,,37648000000.0,,,0.079619996,0.00495,887244980224.0,3492483956736.0,,,POSTAL SAVINGS BANK OF CHINA CO,608881934336.0,,CN,国有大型银行
600941.SS,5.4,0.71199995,147995000832.0,97458000000.0,0.6585222436711341,1.518551589730961,0.10456,0.0454,99111002112.0,311512989696.0,296198995968.0,-0.7170921930030679,CHINA MOBILE LTD,2001446109184.0,,CN,电信运营商
601728.SS,4.83,0.7022,,23527000000.0,,,,,53059100672.0,108133842944.0,104240209920.0,-0.528344506541838,CHINA TELECOM CORPORATION,518845497344.0,,CN,电信运营商
600050.SS,3.61,0.5163,-4066446848.0,12916436626.0,,,0.057579998,0.013300001,35427733504.0,54823448576.0,68750204928.0,-0.28211865102529576,CHINA UNITED NETWORK COMMUNICAT,150069248000.0,,CN,电信运营商
0941.HK,6.68,0.7093,147995000832.0,97458000000.0,0.6585222436711341,1.518551589730961,0.10456,0.0454,99111002112.0,311512989696.0,296198995968.0,-0.7170921930030679,CHINA MOBILE,1718455631872.0,,CN,电信运营商
0728.HK,6.1,0.6981,,23527000000.0,,,,,53059100672.0,108133842944.0,104240209920.0,-0.528344506541838,CHINA TELECOM,591968927744.0,,CN,电信运营商
601088.SS,7.82,0.82629997,20994750464.0,46969000000.0,2.237178292761251,0.4469916426579233,0.13498999,0.07561,35403001856.0,107133001728.0,100640497664.0,-0.712734948027373,CHINA SHENHUA ENERGY COMPANY LT,823550214144.0,,CN,能源煤炭石油
601225.SS,6.09,0.7621,27014819840.0,14938563309.85,0.5529766031506506,1.8083947752985932,0.20863001,0.08675,22491305984.0,37847523328.0,44625666048.0,-0.3441117792501435,SHAANXI COAL INDUSTRY,220755148800.0,,CN,能源煤炭石油
600188.SS,4.15,1.2383,18790981632.0,19313833000.0,1.0278245904466008,0.9729286585422997,0.10226,0.028789999,137799385088.0,44630917120.0,32750196736.0,2.844821627150301,YANKUANG ENERGY GROUP COMPANY L,174150287360.0,,CN,能源煤炭石油
601898.SS,2.94,0.5973,4267689216.0,10288723000.0,2.4108416708101736,0.41479289665005076,0.10852,0.043330003,69465759744.0,85857173504.0,34454220800.0,-0.475744723851076,CHINA COAL ENERGY COMPANY,191189925888.0,,CN,能源煤炭石油
0883.HK,5.68,0.4907,56260374528.0,60869000000.0,1.081916011236405,0.9242861641886675,0.16359,0.09839,71102996480.0,272042000384.0,251802992640.0,-0.7980008569289735,CNOOC,1268585070592.0,,CN,能源煤炭石油
0386.HK,3.57,1.6647,16922625024.0,42108000000.0,2.488266444495556,0.40188622171558847,0.04145,0.01497,557763002368.0,175815000064.0,155490992128.0,2.456399544930428,SINOPEC CORP,896268632064.0,,CN,能源煤炭石油
