ticker,revenue_growth_0y,eps_growth_0y,rev_analysts,eps_analysts,short_name,market_cap,currency,error,country,industry
NVDA,0.6369,0.5673,53.0,44.0,NVIDIA Corporation,4621547864064.0,USD,,US,AI半导体与存储
AMD,0.3414,0.5887,44.0,42.0,"Advanced Micro Devices, Inc.",326326714368.0,USD,,US,AI半导体与存储
AVGO,0.5276,0.5125,47.0,45.0,Broadcom Inc.,1577184657408.0,USD,,US,AI半导体与存储
MU,1.038,3.0916,39.0,33.0,"Micron Technology, Inc.",481909309440.0,USD,,US,AI半导体与存储
MRVL,0.4188,0.8022,41.0,39.0,"Marvell Technology, Inc.",67406987264.0,USD,,US,AI半导体与存储
VRT,0.33720002,0.46080002,22.0,22.0,"Vertiv Holdings, LLC",93258375168.0,USD,,US,电网与数据中心电力设备
ETN,0.099300005,0.108100004,26.0,23.0,"Eaton Corporation, PLC",145356832768.0,USD,,US,电网与数据中心电力设备
HUBB,0.0805,0.0844,14.0,16.0,Hubbell Inc,28001808384.0,USD,,US,电网与数据中心电力设备
PWR,0.1676,0.2018,18.0,21.0,"Quanta Services, Inc.",82410381312.0,USD,,US,电网与数据中心电力设备
GEV,0.1683,-0.1718,28.0,26.0,GE Vernova Inc.,225288224768.0,USD,,US,电网与数据中心电力设备
CRWD,0.2152,-0.0541,50.0,52.0,"CrowdStrike Holdings, Inc.",97965449216.0,USD,,US,网络安全SaaS
PANW,0.22479999,0.108,41.0,44.0,"Palo Alto Networks, Inc.",120160681984.0,USD,,US,网络安全SaaS
FTNT,0.1178,0.0798,41.0,41.0,"Fortinet, Inc.",61301284864.0,USD,,US,网络安全SaaS
ZS,0.2331,0.1656,47.0,47.0,"Zscaler, Inc.",25475524608.0,USD,,US,网络安全SaaS
NET,0.2923,0.2176,30.0,33.0,"Cloudflare, Inc.",62333263872.0,USD,,US,网络安全SaaS
300308.SZ,0.568,1.1226001,20.0,5.0,ZHONGJI INNOLIGHT,590003830784.0,CNY,,CN,算力硬件与光模块
300502.SZ,1.8935001,2.3607001,8.0,1.0,EOPTOLINK TECHNOLO,363916754944.0,CNY,,CN,算力硬件与光模块
002371.SZ,0.3163,0.2549,18.0,6.0,NAURA TECHNOLOGY G,352355647488.0,CNY,,CN,算力硬件与光模块
601138.SS,0.4859,,15.0,,FOXCONN INDUSTRIAL INTERNET CO ,1087236276224.0,CNY,,CN,算力硬件与光模块
000977.SZ,0.3568,,11.0,1.0,IEIT SYSTEMS CO LT,95935586304.0,CNY,,CN,算力硬件与光模块
300750.SZ,0.1838,0.42720002,30.0,11.0,CONTEMPORARY AMPER,1680830758912.0,CNY,,CN,动力电池与电车部件
300014.SZ,0.3755,0.4087,18.0,5.0,EVE ENERGY CO LTD,132287422464.0,CNY,,CN,动力电池与电车部件
002594.SZ,0.09689999,-0.0701,27.0,5.0,BYD COMPANY LTD,840619786240.0,CNY,,CN,动力电池与电车部件
002460.SZ,0.17,1.7408999,15.0,1.0,GANFENG LITHIUM GR,139052777472.0,CNY,,CN,动力电池与电车部件
603799.SS,0.2756,,8.0,,ZHEJIANG HUAYOU COBALT CO LTD,137512747008.0,CNY,,CN,动力电池与电车部件
1810.HK,0.28030002,0.5044,32.0,22.0,XIAOMI-W,917350252544.0,HKD,,CN,消费电子升级链
002475.SZ,0.23709999,0.319,22.0,4.0,LUXSHARE PRECISION,370128027648.0,CNY,,CN,消费电子升级链
002384.SZ,0.096499994,1.6664,6.0,1.0,SUZHOU DONGSHAN PR,142828765184.0,CNY,,CN,消费电子升级链
000063.SZ,0.1525,-0.4729,11.0,1.0,ZTE CORP,177756160000.0,CNY,,CN,消费电子升级链
